term_id,english_source,turkish_candidate,status,scope,adverse_or_note,review_state
OLP-TR-TERM-0001,Open Logic Project,Açık Mantık Projesi,provisional,project_name,"Keep the official English name in attribution and repository URLs; Turkish reader name is an adaptation label, not an endorsed official name.",active_no_native_gate
OLP-TR-TERM-0002,The Open Logic Text,Açık Mantık Metni,provisional,work_title,"Preserve official English title in attribution metadata.",active_no_native_gate
OLP-TR-TERM-0003,theorem,teorem,provisional,environment_label,,active_no_native_gate
OLP-TR-TERM-0004,definition,tanım,provisional,environment_label,,active_no_native_gate
OLP-TR-TERM-0005,lemma,lemma,provisional,environment_label,,active_no_native_gate
OLP-TR-TERM-0006,proposition,önerme,provisional,environment_label,"Do not merge proposition with theorem without a file-level reason.",active_no_native_gate
OLP-TR-TERM-0007,corollary,sonuç,provisional,environment_label,"Potential collision with ordinary 'result'; review contextually.",active_no_native_gate
OLP-TR-TERM-0008,proof,ispat,admitted_producer_term,logic_and_mathematics,"Kanıt is a valid competitor but must not look like a separate proof category; use ispat consistently in this edition.",active_no_native_gate
OLP-TR-TERM-0009,set,küme,provisional,sets,,active_no_native_gate
OLP-TR-TERM-0010,relation,bağıntı,provisional,relations,"İlişki is an adverse/common-language competitor; mathematical register generally favors bağıntı.",active_no_native_gate
OLP-TR-TERM-0011,function,fonksiyon,provisional,functions,,active_no_native_gate
OLP-TR-TERM-0012,formula,formül,provisional,logic,,active_no_native_gate
OLP-TR-TERM-0013,satisfaction,sağlama,provisional,model_theory,"Tatmin is an adverse calque candidate; resolve against Turkish logic sources.",active_no_native_gate
OLP-TR-TERM-0014,soundness,sağlamlık,admitted_producer_term,metalogic,"Never merge with tutarlılık (consistency), geçerlilik (validity), or doğruluk (truth).",active_no_native_gate
OLP-TR-TERM-0015,completeness,tamlık,admitted_producer_term,metalogic,"Eksiksizlik is an attested crosswalk competitor, not a second target term; preserve syntactic/semantic context.",active_no_native_gate
OLP-TR-TERM-0016,naive set theory,naif küme teorisi,admitted_producer_term,sets,"Avoid saf (can mean pure sets) and sezgisel (can suggest intuitionistic set theory).",active_no_native_gate
OLP-TR-TERM-0017,extensionality,kaplamsallık,admitted_producer_term,sets,"Keep separate from broader logical extensional/genişlemsel uses.",active_no_native_gate
OLP-TR-TERM-0018,empty set,boş küme,admitted_producer_term,sets,,active_no_native_gate
OLP-TR-TERM-0019,subset,alt küme,admitted_producer_term,sets,"Preserve source distinction between subset and proper subset, including symbols.",active_no_native_gate
OLP-TR-TERM-0020,proper subset,öz alt küme,admitted_producer_term,sets,"Has alt küme and özalt küme are attested competitors; do not alternate in the reader.",active_no_native_gate
OLP-TR-TERM-0021,power set,kuvvet kümesi,admitted_producer_term,sets,"Güç kümesi is attested but mixing is undesirable.",active_no_native_gate
OLP-TR-TERM-0022,union,birleşim,admitted_producer_term,sets,,active_no_native_gate
OLP-TR-TERM-0023,intersection,kesişim,admitted_producer_term,sets,,active_no_native_gate
OLP-TR-TERM-0024,disjoint,ayrık,admitted_producer_term,sets,"Do not render as bağımsız.",active_no_native_gate
OLP-TR-TERM-0025,set difference,küme farkı,admitted_producer_term,sets,"Definitions should make direction explicit: A kümesinin B kümesinden farkı; avoid bare fark kümesi.",active_no_native_gate
OLP-TR-TERM-0026,ordered pair,sıralı ikili,admitted_producer_term,sets,"Avoid literal düzenli çift.",active_no_native_gate
OLP-TR-TERM-0027,ordered n-tuple,sıralı n-li,admitted_producer_term,sets,"Use n-li rather than n'li.",active_no_native_gate
OLP-TR-TERM-0028,Cartesian product,Kartezyen çarpım,admitted_producer_term,sets,,active_no_native_gate
OLP-TR-TERM-0029,Russell's paradox,Russell paradoksu,admitted_producer_term,sets,,active_no_native_gate
OLP-TR-TERM-0030,comprehension,küme oluşturma,admitted_producer_term,sets,"Use descriptive Turkish in the introductory reader. Kapsamlılık ilkesi was rejected here as nontransparent and confusable with ordinary comprehensiveness; generic anlama is also unsuitable.",active_no_native_gate
OLP-TR-TERM-0031,set-builder notation,ortak özellik yöntemiyle küme gösterimi,provisional,sets,"Küme kurma gösterimi is a technical synonym.",active_no_native_gate
"OLP-TR-TERM-0032","binary relation","ikili bağıntı","admitted_producer_term","relations","Keep separate from ikili işlem (binary operation).","active_no_native_gate"
"OLP-TR-TERM-0033","identity relation","özdeşlik bağıntısı","admitted_producer_term","relations","Birim bağıntı is an attested competitor; do not alternate inside the reader.","active_no_native_gate"
